name,type,events,total_artists,notable_artists,is_target
Hotel Sofitel Skipper Barcelona,venue,15,32,5,False
Meteoro,venue,21,51,5,False
Paral•lel 62,venue,9,21,5,False
Caixaforum,venue,5,8,5,False
Puerto Bahia Club de Mar,venue,17,31,5,False
PNC Radio,venue,22,54,5,False
Nobu Hotel,venue,20,22,5,False
El Pumarejo Barcelona,venue,9,25,5,False
MR Porter Barcelona,venue,3,8,5,False
Hotel Hesperia Tower,venue,1,7,5,False
Tanit Beach Club,venue,3,7,5,False
AUDIODISE AIRCLUB Barceloneta,venue,2,9,5,False
"TBA - La Garrotxa, Catalunya",venue,4,13,5,False
Alta Fidelidad Club Vraba,venue,4,17,5,False
Toy Tonics,promoter,2,6,5,False
alocasia.tv,promoter,18,41,5,False
OblicuoHiFi,promoter,3,13,5,False
Algorythm,promoter,8,26,5,False
DNIT,promoter,5,8,5,False
Kommuna,promoter,9,18,5,False
Mainline,promoter,2,6,5,False
RBL Barcelona,promoter,8,21,5,False
KHIDI,promoter,1,13,5,False
DISTRITO 91,promoter,3,9,5,False
Retro Future Disco Club,promoter,3,11,5,False
Golpe De Amistad,promoter,2,6,5,False
ID BCN,promoter,5,16,5,False
Sociedad Groove,promoter,5,16,5,False
Digital Freedom,promoter,4,9,5,False
tu culito colombiano,promoter,1,5,5,False
Georgina Asuncion Guasch,promoter,1,5,5,False
Clone,promoter,1,5,5,False
Soundvision,promoter,3,14,5,False
22Recordings,promoter,2,6,5,False
Somos Humanos,promoter,2,9,5,False
Outlook,promoter,1,12,5,False
Mass Music,promoter,2,13,5,False
WeareAnims,promoter,1,8,5,False
Fast Forward Productions,promoter,1,9,5,False
Salto,promoter,5,15,5,False
Lanna Club,promoter,1,11,5,False
fauna & flora,promoter,2,11,5,False
Houston Party,promoter,5,5,5,False
Mixmag,promoter,1,6,5,False
Mixmag Live,promoter,1,6,5,False
GoBeachClub,promoter,1,6,5,False
Noxe Barcelona,venue,158,26,4,False
Dr. Resin Social Club,venue,148,23,4,False
TBA - Mansion Near Plaza Catalunya,venue,12,31,4,False
Dr. Dou Social Club,venue,217,31,4,False
Mint Bar,venue,50,38,4,False
TBA - Parc de L'Estació del Nord Barcelona,venue,1,8,4,False
Frankie Gallo Cha Cha Cha (Raval),venue,3,13,4,False
ID On Wax Record Store,venue,4,13,4,False
TBA - Plaça de l'Odissea,venue,1,6,4,False
Sutton Barcelona,venue,6,8,4,False
Azul Rooftop Barceloneta,venue,33,20,4,False
TBA - Secret Location (20 min from city center),venue,1,9,4,False
"Sa Caleta, Lloret de Mar",venue,2,10,4,False
Vraba Terrace,venue,13,47,4,False
"TBA - Josep Maria Lladò, 3 (Barcelona)",venue,1,5,4,False
Plaza Mayor de El Poble Espanyol,venue,1,4,4,False
&Friends,promoter,19,48,4,False
DEXT FORCE Festival,promoter,11,22,4,False
Outsiders,promoter,4,7,4,False
Unison Records,promoter,4,10,4,False
Liquid Palms,promoter,7,19,4,False
Kazanova Club,promoter,8,19,4,False
Magnetic,promoter,12,14,4,False
Good Vibes Only Bcn ,promoter,67,19,4,False
Less is More,promoter,7,18,4,False
Ibiza Talents,promoter,1,6,4,False
47,promoter,1,4,4,False
Landaways Labs,promoter,1,4,4,False
Svogue,promoter,6,10,4,False
Dropset Events,promoter,4,7,4,False
perros disqueria,promoter,4,16,4,False
CLHUB.ART,promoter,5,15,4,False
Somnia,promoter,3,6,4,False
IN ACT,promoter,1,4,4,False
Solid AM,promoter,1,5,4,False
VBX,promoter,1,4,4,False
latenite [hotstuff],promoter,1,5,4,False
mooz-biz,promoter,2,6,4,False
Pascale Voltaire,promoter,2,9,4,False
technoleftmespeechless,promoter,2,9,4,False
Hyper Dreams,promoter,1,4,4,False
SlapFunk,promoter,2,6,4,False
Slow Life,promoter,1,6,4,False
Michael Ritter,promoter,1,8,4,False
DEEP TALES,promoter,1,8,4,False
FLY CLUB,promoter,1,4,4,False
FLY Open Air Festival,promoter,1,4,4,False
Crunch events,promoter,1,4,4,False
hush.,promoter,1,4,4,False
Miguel Bastida,promoter,1,8,4,False
MUCHOBOMBO,promoter,1,8,4,False
seekers,promoter,3,12,4,False
TheSoundSociety,promoter,4,4,4,False
IKLECTIK,promoter,1,5,4,False
Sunwaves,promoter,1,4,4,False
INKIET,promoter,2,10,4,False
Blackhole.ent,promoter,2,6,4,False
ANK RECORDS,promoter,25,30,4,False
Modern Obscure Music,promoter,1,5,4,False
Privatbeat,promoter,1,6,4,False
Abstractechno,promoter,1,5,4,False
BRIDGE-DISTRICT,promoter,1,6,4,False
Hedonika,promoter,2,6,4,False
Subliminal State,promoter,4,8,4,False
Soundset Sessions,promoter,4,10,4,False
WetYourSelf!,promoter,1,4,4,False
Cloaca,promoter,1,12,4,False
Antidoto Club,promoter,1,14,4,False
FLOORGASM,promoter,1,8,4,False
Chernobyl ,promoter,1,8,4,False
HARD_TECHNO,promoter,12,24,4,False
Círculo,venue,188,46,3,False
Recreo Bar,venue,226,26,3,False
Okio Social Club,venue,21,27,3,False
Localito 3.0,venue,34,16,3,False
TBA - Mad Record Shop,venue,1,5,3,False
TBA - Location Will Be Emailed To Registered Guests,venue,2,9,3,False
Port Olimpic,venue,3,11,3,False
Astoria,venue,1,4,3,False
Dot Hi-Fi Club,venue,1,3,3,False
Casa Panot,venue,2,9,3,False
TBA - SECRET LOCATION OUTSIDE BARCELONA,venue,1,4,3,False
TBA - Cosmico - SLS Barcelona ,venue,5,3,3,False
"Gualba, Montseny",venue,1,4,3,False
"TBA - TBA - Audiodise Beach Club Playa Del Forum, Sun Sea Bar, Carrer de la Pau, 08930 Sant Adrià de Besòs, Barcelona",venue,2,7,3,False
TBA - Castell de Torre Cellers - Parets del Vallès,venue,1,21,3,False
Alta Fidelidad Club at Reial Club Maritim,venue,2,4,3,False
Sala Dresden,venue,2,5,3,False
Kompound.,promoter,3,8,3,False
Kraneal,promoter,8,12,3,False
Paradise.music,promoter,13,40,3,False
Last Tour International,promoter,3,3,3,False
Grupo Fomo,promoter,23,30,3,False
JUXTA,promoter,12,6,3,False
Casaveo,promoter,3,10,3,False
REVERB,promoter,7,12,3,False
Boots & Cats,promoter,12,32,3,False
Ascendancy,promoter,4,12,3,False
SOUNDMATE,promoter,3,10,3,False
TiZi,promoter,3,8,3,False
AMORES,promoter,4,11,3,False
Krewe,promoter,3,7,3,False
Above You_ Dance,promoter,15,15,3,False
Give Soul,promoter,1,4,3,False
SENSES,promoter,5,13,3,False
High Tea Music,promoter,2,5,3,False
Libertine,promoter,2,5,3,False
Vortex.Productora,promoter,5,9,3,False
Outside In,promoter,3,8,3,False
RELOAD,promoter,3,9,3,False
Bizarre Trax,promoter,1,4,3,False
Legwork,promoter,1,3,3,False
Recordeep,promoter,3,10,3,False
dbartists,promoter,2,5,3,False
Laster Club,promoter,1,4,3,False
trommel.,promoter,1,5,3,False
Marginalia,promoter,1,6,3,False
Elwei,promoter,9,21,3,False
PinealBCN,promoter,4,10,3,False
Act Like Adults,promoter,1,5,3,False
MYRIEL,promoter,15,23,3,False
IMPERIALCLUB,promoter,16,25,3,False
elsucproducció,promoter,2,4,3,False
CabanaLibre,promoter,14,29,3,False
FÜNDAY,promoter,2,5,3,False
Distorted,promoter,4,9,3,False
Cosmico Rooftop Club ,promoter,5,3,3,False
Upload,promoter,2,6,3,False
Trancecore,promoter,1,6,3,False
Kumquat,promoter,2,4,3,False
L'A Cultural,promoter,3,11,3,False
Mutant Magic,promoter,3,11,3,False
sverabsm,promoter,1,4,3,False
SACRO BY MËSTIZA,promoter,1,3,3,False
Scenarios,promoter,1,4,3,False
Ritter Butzke,promoter,1,5,3,False
Club 23,venue,6,16,2,False
Sala Taro,venue,22,26,2,False
Clap Mataró,venue,4,6,2,False
Eleven BCN,venue,13,5,2,False
Oblicuo Hi-Fi,venue,5,12,2,False
TOC Hostel,venue,63,10,2,False
Rouge,venue,15,16,2,False
Roca Umbert Sound Factory,venue,3,2,2,False
Mas Corts,venue,1,5,2,False
Estació de França - Espai Gastronomic,venue,11,14,2,False
Opposite,venue,2,9,2,False
TBA - Secret Warehouse,venue,1,5,2,False
33/45 Bar,venue,9,7,2,False
Negro Rojo Club,venue,24,15,2,False
Eternal Mataró,venue,2,5,2,False
Beso Pedralbes,venue,15,16,2,False
BASSHAUS,venue,1,5,2,False
White Rabbit · The Off-Museum of Barcelona,venue,1,2,2,False
Hyde Club,venue,7,18,2,False
Audiodise Park Montjuic,venue,4,6,2,False
Ocaña,venue,10,11,2,False
Fading Shapes Studios,venue,2,2,2,False
Casa Seat,venue,1,3,2,False
Sala Vol,venue,3,9,2,False
TBA - SECRET FINCA outside Barcelona,venue,1,7,2,False
The Room Barcelona,venue,1,2,2,False
Espai Salvadiscos,venue,9,14,2,False
TBA - La Boquería,venue,1,5,2,False
TBA - LOST BEACH PLATJA DEL FORUM BARCELONA ,venue,2,10,2,False
Konvent de Cal Rosal,venue,3,8,2,False
TBA - LosT Beach Party Platja Del Forum,venue,2,8,2,False
TBA - LosT Beach Platja Del Litoral BCN 3 Chimeneas,venue,1,7,2,False
Cohete Disco BAR,venue,3,4,2,False
Soho Little Beach House Barcelona,venue,1,5,2,False
TBA - DM FOR MORE INFO,venue,1,8,2,False
TBA - Seven Seas Mataró,venue,1,3,2,False
TBA - Club Electrònic at Secret Location ,venue,2,9,2,False
Razzmatazz 2,venue,2,2,2,False
Esferic Bcn,venue,1,2,2,False
TBA - Diffusion Concept Store,venue,2,2,2,False
Maloa Club,venue,1,5,2,False
Alta Fidelidad Club Maritim,venue,1,4,2,False
TBA -  SECRET GREENHOUSE,venue,1,4,2,False
TBA - Sun Sea Bar Beach (Platja Port Forum),venue,1,5,2,False
Kw,promoter,44,13,2,False
BT Bcn,promoter,52,13,2,False
Diffuse Reality Records,promoter,7,13,2,False
Chez Doc,promoter,6,12,2,False
Dr. Silver,promoter,13,23,2,False
Hyperaktivist,promoter,1,5,2,False
ON AIR,promoter,4,5,2,False
ROOM 128,promoter,4,6,2,False
PIREXIA,promoter,1,4,2,False
BCCO,promoter,1,3,2,False
Azadi Sound,promoter,4,8,2,False
From Hell to Disco,promoter,4,10,2,False
